I.S. 5 - The Walter Crowley Intermediate School,11373
P.S. 007 Louis F. Simeone,11373
P.S. 012 James B. Colgate,11377
P.S. 013 Clement C. Moore,11373
P.S. 014 Fairview,11368
P.S. Q016 The Nancy DeBenedittis School,11368
P.S. 019 Marino Jeantet,11368
P.S. 28 - The Thomas Emanuel Early Childhood Cente,11368
P.S. 049 Dorothy Bonawit Kole,11379
P.S. 58 - The School of Heroes,11378
I.S. 061 Leonardo Da Vinci,11368
P.S. 068 Cambridge,11385
P.S. 071 Forest,11385
I.S. 73 - The Frank Sansivieri Intermediate School,11378
I.S. 077,11385
P.S. 81Q Jean Paul Richter,11385
P.S./I.S. 087 Middle Village,11379
P.S. 088 Seneca,11385
P.S. 089 Elmhurst,11373
P.S. 091 Richard Arkwright,11385
I.S. 093 Ridgewood,11385
P.S. 102 Bayview,11373
P.S. 110,11368
P.S./I.S. 113 Anthony J. Pranzo,11385
I.S. 119 The Glendale,11385
I.S. 125 Thom J. McCann Woodside,11377
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elemen",11379
P.S. 143 Louis Armstrong,11368
P.S. 153 Maspeth Elem,11378
P.S. 199 Maurice A. Fitzgerald,11104
Elm Tree Elementary School,11368
P.S. 229 Emanuel Kaplan,11377
International High School for Health Sciences,11373
P.S. 239,11385
Academy of Finance and Enterprise,11101
High School of Applied Communication,11101
